id,title,duration,rating,description,movie_link,writers,directors,stars,release_date,countries_origin,production_companies,genres,year,month,day
tt0195970,Over gaden - Neden vandet,,8.7,"Lejla is the foster child of a grumpy and dried-up old man and his bold, vivacious wife. The girl is raped by a sailor, then befriends a very different man - an intellectual illustrator and artist of life. He tries in vain to transform Lejla into his ideal image of a so-called 100 percent woman. In order to develop her life and become herself, Lejla leaves him for a disabled young man she has met by chance and has grown to like. Inspired by French film's new wave.",https://www.imdb.com/title/tt0195970/,['Erik Thorsnæs'],"['Jørgen Arstorp', 'Erik Thorsnæs']","['Vibeke Meyer', 'Svend Knigge', 'Lily Knigge', 'Ole Varde Lassen', 'Johannes Nielsen', 'Inger Lise Servé', 'Gustafsson Lajla', 'Ib Torben', 'Kirsten Jørgensen', 'Jørgen Winckler']",1960-12-26,['Denmark'],['Septor Film'],,1960,12,26
tt0054215,Psycho,1h 49m,8.5,A secretary on the run for embezzlement takes refuge at a secluded California motel owned by a repressed man and his overbearing mother.,https://www.imdb.com/title/tt0054215/,"['Joseph Stefano', 'Robert Bloch']",['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Patricia Hitchcock', 'Vaughn Taylor']",1960-09-08,['United States'],"['Alfred J. Hitchcock Productions', 'Shamley Productions']","['Dark Comedy', 'Psychological Horror', 'Psychological Thriller', 'Slasher Horror', 'Suspense Mystery', 'Horror', 'Mystery', 'Thriller']",1960,9,8
tt0052572,The World of Apu,1h 45m,8.4,This final installment in Satyajit Ray's Apu Trilogy follows Apu's life as an orphaned adult aspiring to be a writer.,https://www.imdb.com/title/tt0052572/,"['Bibhutibhushan Bandyopadhyay', 'Satyajit Ray']",['Satyajit Ray'],"['Soumitra Chatterjee', 'Sharmila Tagore', 'Alok Chakravarty', 'Swapan Mukherjee', 'Tushar Bandyopadhyay', 'Gupi Banerjee', 'Panchanan Bhattacharya', 'Shanti Bhattacherjee', 'Jiten Bhons', 'Abhijit Chatterjee']",1960-10-04,['India'],['Satyajit Ray Productions'],"['Tragedy', 'Drama']",1960,10,4
tt0054451,Higher Principle,1h 44m,8.3,"The story of High school in Czechia (then Protectorate Bohemia and Moravia) during occupation by Nazi Germany, where three students are arrested by Gestapo.",https://www.imdb.com/title/tt0054451/,"['Jirí Krejcík', 'Jan Drda']",['Jirí Krejcík'],"['Frantisek Smolík', 'Jana Brejchová', 'Ivan Mistrík', 'Alexander Postler', 'Jan Smíd', 'Petr Kostka', 'Bohus Záhorský', 'Radovan Lukavský', 'Gustav Hilmar', 'Václav Lohniský']",1960-11-23,['Czechoslovakia'],['Ceskoslovenský Státní Film'],"['Drama', 'War']",1960,11,23
tt0050634,The Cranes Are Flying,1h 35m,8.3,"Veronica plans a rendezvous with her lover, Boris, at the bank of river, only for him to be drafted into World War II shortly thereafter.",https://www.imdb.com/title/tt0050634/,['Viktor Rozov'],['Mikhail Kalatozov'],"['Tatyana Samoylova', 'Aleksey Batalov', 'Vasiliy Merkurev', 'Aleksandr Shvorin', 'Svetlana Kharitonova', 'Konstantin Kadochnikov', 'Valentin Zubkov', 'Antonina Bogdanova', 'Boris Kokovkin', 'Ekaterina Kupriyanova']",1960-03-21,['Soviet Union'],['Mosfilm'],"['Political Drama', 'Tragic Romance', 'Drama', 'Romance', 'War']",1960,3,21
tt0053604,The Apartment,2h 5m,8.3,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but office politics and his own romantic hopes complicate matters.",https://www.imdb.com/title/tt0053604/,"['Billy Wilder', 'I.A.L. Diamond']",['Billy Wilder'],"['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston', 'Jack Kruschen', 'David Lewis', 'Hope Holiday', 'Joan Shawlee', 'Naomi Stevens', 'Johnny Seven']",1960-06-29,['United States'],['The Mirisch Corporation'],"['Farce', 'Holiday Comedy', 'Holiday Romance', 'Romantic Comedy', 'Comedy', 'Drama', 'Holiday', 'Romance']",1960,6,29
tt0043440,The Naked and the Wicked,1h 30m,8.3,"Using actors' names since they differ in the dubbed versions: Carla Del Poggio is the wistful companion of opera star Madam Stefania Monti. Carla soon learns that Madam's accompanist, Gabriele Ferzetti, is fond of bedroom romps with Madam's wistful companion, and is also a thief who absconds with Madam's jewelry. Carla is accused of the theft but her attorney, Frank Latimore, who is also something of a mama's boy, wins her an acquittal. Latimore plans to marry Carla but his mother, Tina Lattanzi, steps in and tells Carla that marriage to her son will ruin his budding career, and she moves on. Carla, after giving birth to Latimore's baby, becomes a famous nightclub singer. Time passes and Ferzetti, the jewel thief, returns and attempts to rape Carla, but she shoots him dead. At her murder trial, Latimore defends her again, and also learns he is the father of her child, and she only left him because of his mother's interference. She is once again acquitted, and Carla and Latimore move on, sans his mother.",https://www.imdb.com/title/tt0043440/,"['Mario Monicelli', 'Steno', 'Guido Brignone']",['Guido Brignone'],"['Carla Del Poggio', 'Frank Latimore', 'Gabriele Ferzetti', 'Tina Lattanzi', 'Stefania Monti', 'Olga Solbelli', 'Carlo Sposito', 'Giovanna Galletti', 'Olinto Cristina', 'Nino Pavese']",1960-09-15,['Italy'],['Manenti Film Sp.A.'],"['Drama', 'Music', 'Romance']",1960,9,15
tt0054042,Macario,1h 31m,8.3,"Poor and hungry peasant Macario wishes to have a good meal for All Saint's Day. After his wife cooks him a turkey he has three apparitions: The Devil, God, and the Death.",https://www.imdb.com/title/tt0054042/,"['B. Traven', 'Emilio Carballido', 'Roberto Gavaldón']",['Roberto Gavaldón'],"['Ignacio López Tarso', 'Pina Pellicer', 'Enrique Lucero', 'Mario Alberto Rodríguez', 'José Gálvez', 'José Luis Jiménez', 'Eduardo Fajardo', 'Consuelo Frank', 'José Dupeyrón', 'Celia Tejeda']",1960-06-09,['Mexico'],['Clasa Films Mundiales'],"['Drama', 'Fantasy', 'Mystery']",1960,6,9
tt0256406,Sri Venkateswara Mahathyam,3h 24m,8.2,This film revolves around Sri Venkateswara Swamy.,https://www.imdb.com/title/tt0256406/,['Acharya Athreya'],['P. Pullaiah'],"['N.T. Rama Rao', 'Savitri', 'Varalakshmi S.', 'Gummadi', 'Subba Rao A.V.', 'Ramana Reddy', 'Surabhi Balasaraswati', 'Chittor V. Nagaiah', 'Shanta Kumari', 'Rushyendramani']",1960-01-09,['India'],['Padamsri Pictures'],"['Drama', 'Musical']",1960,1,9
tt0052600,Ballad of a Soldier,1h 28m,8.2,"Young Russian soldier Alyosha earns a medal, but asks to visit his mother instead. His journey recounts various kinds of love during wartime.",https://www.imdb.com/title/tt0052600/,"['Grigoriy Chukhray', 'Valentin Yezhov']",['Grigoriy Chukhray'],"['Vladimir Ivashov', 'Zhanna Prokhorenko', 'Antonina Maksimova', 'Nikolay Kryuchkov', 'Evgeniy Urbanskiy', 'Elza Lezhdey', 'Aleksandr Kuznetsov', 'Evgeniy Teterin', 'Valentina Markova', 'Mariya Kremneva']",1960-12-26,['Soviet Union'],['Mosfilm'],"['Drama', 'Romance', 'War']",1960,12,26
tt0053339,Telegrame,1h 16m,8.1,Personal rivalries escalate a provincial election into a huge political conflict.,https://www.imdb.com/title/tt0053339/,"['Ion Luca Caragiale', 'Mircea Stefanescu']","['Aurel Miheles', 'Gheorghe Naghi']","['Grigore Vasiliu-Birlic', 'Costache Antoniu', 'Jules Cazaban', 'Alexandru Giugaru', 'Nicky Atanasiu', 'Marcel Anghelescu', 'Nicolae Neamtu-Ottonel', 'Stefan Ciubotarasu', 'Al Ionescu-Ghibericon', 'Carmen Stanescu']",1960-03-01,['Romania'],['Filmstudio Bucuresti'],['Comedy'],1960,3,1
tt0051869,Los pequeños gigantes,1h 27m,8.1,Little league champions of a perfect game.,https://www.imdb.com/title/tt0051869/,"['Hugo Butler', 'Edward Huebsch']",['Hugo Butler'],"['Ángel Macías', 'Francisco Aguilar', 'Claudio Brook', 'Baltasar Charles', 'Juan Contreras', 'Alfonso Cortes', 'Rafael Estrella', 'César L. Faz', 'Pedro Galván', 'Gerardo González']",1960-06-09,['Mexico'],['Producciones Olmeca'],"['Documentary', 'Drama', 'Romance', 'Sport']",1960,6,9
